zip_code,num_households,med_income_12m
03253,3109,61359
03254,2007,82526
03255,746,102273
03256,941,74509
03257,1537,81984
03258,984,110291
03259,151,71616
03260,377,110089
03261,1746,104653
03262,475,62750
03263,1823,58036
03264,2179,68984
03266,799,57361
03268,599,79519
03269,1080,75833
03273,115,160379
03275,4458,82907
03276,3501,61664
03278,1203,74792
03279,307,48563
03280,479,78542
03281,3371,101773
03282,412,79375
03284,252,98542
03285,1060,72973
03287,655,104241
03290,1959,95655
03291,29,-
03293,54,53333
03301,13351,72594
03303,6466,79599
03304,2802,132774
03307,2336,64836
03431,9964,62938
03440,1103,75536
03441,86,37188
03442,647,67863
03443,180,70156
03444,621,88467
03445,273,84107
03446,2823,74598
03447,1010,77727
03448,302,66875
03449,802,75313
03450,427,85956
03451,1550,65921
03452,2048,68222
03455,988,75313
03456,315,90568
03457,299,89583
03458,3011,101063
03461,1859,84861
03462,625,98099
03464,346,83281
03465,737,54375
03466,599,99673
03467,822,96250
03470,1888,66200
03561,2873,45141
03570,3759,39479
03574,1013,68125
03575,3,-
03576,1397,47288
03579,182,55625
03580,527,74821
03581,1583,60082
03582,913,46302
03583,473,58617
03584,1395,63060
03585,1014,63278
03586,252,113438
03588,655,66705
03590,418,45625
03592,544,53750
03593,173,82750
03595,386,67000
03597,233,45469
03598,1494,57250
03601,125,70938
03602,983,61964
03603,2036,48657
03604,0,-
03605,283,77813
03607,99,73438
03608,1201,70096
03609,248,90833
03740,433,60813
03741,1567,78250
03743,5346,46731
03745,735,78894
03748,2056,92113
03750,259,174875
03751,203,36410
03752,301,56607
03753,1235,147219
03755,2668,143990
03765,158,70798
03766,4184,85094
03768,609,125156
03770,147,139044
03771,323,74063
03773,3031,67649
03774,691,45547
03777,538,81875
03779,269,75625
03780,198,-
03781,778,98300
03782,983,97011
03784,1802,66934
03785,831,49387
03801,10851,92576
03809,1325,87201
03810,809,108288
03811,2821,123257
03812,448,36394
03813,1573,55218
03814,933,60268
03816,567,68207
03817,295,52072
03818,1664,66029
03819,1649,95869
03820,14724,82464
03823,711,144191
03824,2904,87396
03825,3333,102512
03826,1122,97500
03827,1169,113750
03830,634,58056
03832,155,68750
03833,8953,96120
03835,2785,60322
03836,579,70875
03837,720,98611
03838,579,83607
03839,1577,78417
03840,1566,124695
03841,2623,105078
03842,7139,87554
03844,861,140625
03845,705,58209
03846,488,69886
03847,249,85844
03848,2687,82017
03849,459,84759
03850,69,-
03851,1512,81310
03852,140,-
03853,363,84323
03854,395,150875
03855,1005,89150
03856,637,174044
03857,4322,83070
03858,1769,135863
03860,1818,60208
03861,1865,88750
03862,1924,120808
03864,730,61993
03865,3242,90508
03867,9366,70861
03868,2528,61667
03869,1025,74092
03870,2206,115815
03871,201,-
03872,1674,94000
03873,2211,116048
03874,3837,79072
03875,406,85109
03878,5185,68909
03882,513,75179
03883,164,-
03884,1379,120453
03885,3046,130923
03886,457,55841
03887,699,74338
03890,19,-
03894,3005,67699
03897,17,"250,000+"
03901,3398,75541
03902,941,97250
03903,2680,84768
03904,4084,66517
03905,878,120583
03906,1954,82829
03907,595,80673
03908,2772,90446
03909,4539,102335
03910,14,-
03911,77,-
04001,1129,68073
04002,2979,59132
04003,107,-
04005,9987,60276
04006,27,"250,000+"
04008,1196,85556
04009,2245,72332
04010,613,53031
04011,8716,67488
04015,1700,56731
04017,302,54375
04019,39,98359
04020,704,61099
04021,2339,120938
04022,431,66146
04024,193,59760
04027,2277,92117
04029,836,57037
04030,735,93274
04032,3427,86870
04037,1458,51500
04038,6092,90446
04039,3434,88917
04040,1390,50476
04041,617,47734
04042,1882,82500
04043,4858,88865
04046,3201,86642
04047,711,62228
04048,1171,77537
04049,1496,71529
04050,117,73750
04051,530,63125
04055,2006,61442
04056,39,44625
04057,116,-
04061,976,81094
04062,7064,87162
04063,389,53219
04064,4751,56408
04066,357,111435
04068,556,43981
04069,570,94531
04071,2173,79077
04072,8631,72700
04073,6997,63750
04074,8811,107210
04076,1144,76071
04079,1967,80813
04083,2037,72642
04084,2656,82000
04085,992,79883
04086,4135,73345
04087,924,83219
04088,532,59231
04090,4904,71090
04091,320,74688
04092,8838,71335
04093,3325,69465
04095,708,51250
04096,3463,90942
04097,1497,105917
04101,9684,50858
04102,7820,71126
04103,13183,76540
04105,4825,130739
04106,11774,73492
04107,3893,129503
04108,434,86000
04109,77,-
04110,611,139837
04210,10249,55402
04216,280,42188
04217,1540,36638
04219,559,51625
04220,1238,77652
04221,335,48750
04222,1699,82868
04224,1072,53051
04226,33,41477
04227,17,-
04231,94,38125
04234,0,-
04236,1661,85685
04237,105,-
04238,443,77644
04239,1928,67716
04240,15588,48069
04250,1782,66528
04252,1928,68142
04253,761,70855
04254,1412,38913
04255,302,49107
04256,1152,62429
04257,1136,40889
04258,1063,83355
04259,1412,65625
04260,2093,88467
04261,158,31250
04263,777,70347
04265,332,59286
04267,15,61250
04268,1915,50507
04270,2320,59526
04271,0,-
04274,2348,74886
04275,268,41875
04276,2416,44870
04280,2989,64866
04281,2063,51442
04282,2361,78848
04284,465,51125
04285,189,55066
04286,0,-
04287,1356,70000
04289,689,52578
04290,669,66544
04292,373,46023
04294,1422,50489
04330,12227,46515
04341,0,-
04342,717,69375
04344,1381,59519
04345,4760,64859
04346,792,52639
04347,1289,57250
04348,1169,65231
04349,581,54375
04350,1482,71691
04351,974,77941
04352,665,55375
04353,895,75139
04354,618,77333
04355,959,94219
04357,1484,55878
04358,1845,83705
04359,127,-
04360,229,63274
04363,1051,59440
04364,2533,74338
04401,18773,57428
04406,328,42222
04408,100,58750
04410,430,71786
04411,620,71250
04412,4074,50614
04413,75,55083
04414,667,53750
04415,116,37500
04416,2327,49397
04417,203,32257
04418,633,49896
04419,1204,86623
04421,256,85556
04422,400,63333
04424,378,40098
04426,1969,45088
04427,1088,53913
04428,1267,61629
04429,2102,80833
04430,721,40875
04431,21,-
04434,418,72625
04435,438,60806
04438,525,64271
04441,757,47344
04442,37,-
04443,916,42969
04444,3541,92512
04448,561,44875
04449,490,46563
04450,553,68869
04451,119,27011
04453,287,34417
04454,13,18542
04455,260,41316
04456,1164,63500
04457,2700,38688
04459,323,44531
04460,598,32321
04461,1197,56303
04462,2349,41521
04463,1153,50799
04464,213,49125
04468,3881,46270
04469,0,-
04471,240,37500
04472,862,58790
04473,3465,51233
04474,1551,74977
04475,221,43750
04476,524,47000
04478,186,46667
04479,585,40375
04481,230,62917
04485,66,53000
04487,376,41500
04488,463,54028
04489,111,-
04490,105,55938
04491,86,48125
04492,34,43750
04493,764,54327
04495,187,39531
04496,1587,80958
04497,173,41250
04530,5008,65486
04535,278,76563
04537,660,62885
04538,836,56196
04539,654,68750
04541,29,49821
04543,917,51033
04544,467,53994
04547,499,69107
04548,458,74318
04551,279,74375
04553,778,79313
04554,326,78421
04555,697,79716
04556,557,74120
04558,102,67250
04562,1040,90500
04563,645,60852
04564,207,92788
04568,257,53125
04570,0,-
04571,309,48885
04572,2639,44182
04573,178,79773
04574,691,52557
04575,106,-
04576,278,59500
04578,1994,64516
04579,1202,86286
04605,6244,61641
04606,518,43088
04607,566,54375
04609,2208,71900
04611,190,53750
04612,222,78261
04613,42,74063
04614,1228,53566
04616,349,54191
04617,348,44967
04619,1664,39009
04622,397,33403
04623,366,56071
04624,103,50956
04625,32,48214
04626,240,49250
04627,807,56583
04628,241,48274
04630,529,51750
04631,599,39375
04634,846,53333
04635,6,-
04640,1059,62639
04642,78,60938
04643,320,60588
04645,22,-
04646,41,63304
04648,263,47679
04649,541,43750
04650,133,100313
04652,727,51146
04653,318,55227
04654,1282,36792
04655,396,51900
04657,144,56500
04658,536,44545
04660,502,81413
04662,238,68214
04664,482,61190
04666,517,53906
04667,536,61250
04668,760,43750
04669,56,85417
04671,217,62813
04673,68,22500
04674,111,46625
04675,80,-
04676,575,67625
04677,131,72734
04679,708,48452
04680,514,61053
04681,477,63359
04683,0,-
04684,858,68158
04685,195,73906
04686,66,53611
04691,188,49135
04693,230,56591
04694,944,47024
04730,4032,49727
04732,731,41741
04733,156,50568
04734,339,71141
04735,203,40625
04736,4139,47423
04737,0,-
04739,331,39250
04740,594,43864
04742,1303,44719
04743,1939,54105
04745,376,50667
04746,201,31339
04747,562,50667
04750,777,40188
04756,1510,40153
